Job Title,Job Description,Rating,Size,Type of ownership,Industry,Sector,Revenue,min_sal,max_sal,avg_sal,Company,City,State,Age,python_yn,R_yn,Tableau,SAS,Apache,SQL,Excel
Data Analyst,"Our data operations team is the pharmacy support system for our customers - we help them transition to divvyDOSE, manage their prescriptions, answer their questions, and coordinate care with their health team. This work is coordinated across pharmacists, technicians, and customer support staff to ensure we provide the best care for our customers. Among other things, we transfer prescriptions to and from other pharmacies, contact medical care providers to understand treatments and request prescription refills and answer inbound questions from our customers.

You will:


Your goal is to help the operation run more effectively and efficiently through data analysis, reporting, dash-boarding, and special projects. You will help us build context through better reporting and drive the business forward by providing data-driven recommendations on ways to improve efficiency and optimize our operation. On any given day you might be presenting to our executive team, doing a deep dive on call analytics, or working with a small team to prototype and test new processes.
Become an expert and go-to resource for our process flows and our operational data
Work with operations management to develop actionable operations performance dashboards across all areas of the organization
Perform ad-hoc data analysis to identify measurable improvements to our operation, and advocate for those improvements via presentations and reports
Maintain and improve operations forecasting models
Collaborate with Finance and Technology teams to ensure we are able to continue to effectively measure our operation as technology improves
Communicate effectively and efficiently across multiple teams and work groups
Requirements
You have strong analytical and problem-solving skills
You are used to tackling very loosely defined problems and still deliver high-quality output
Advanced proficiency in Excel, PowerPoint, and strong written and oral communication
Ability to adapt quickly to a changing environment
3-5 years of analyst experience
Bachelor's degree, with major in analytical or technical field strongly preferred
Experience with BI tools such as Looker or Tableau is a plus
Job Title: Data Analyst

Job Type: Full-time

FLSA Status: Exempt

Benefits

In addition to competitive salary and a unique opportunity to thrive at a growing company, divvyDOSE offers various formal benefits as well.

INSURANCE, PAID TIME OFF, & RETIREMENT

Full-time employees receive Sick days, Vacation days, and Holiday Bonuses as well as employer-paid Medical (including a Health Savings Account with an employer contribution), Dental, Vision, and Life insurance. In addition, we're proud to offer Voluntary Life & AD&D, Short Term Disability, and Long Term Disability coverage. A 401k plan with employer contribution is available, too.

SOCIAL EVENTS

In our company description, you can tell the divvyTEAM likes to have fun. Regular potlucks, company events, pizza days, wellness challenges, and divvyNEWS You Can Use updates maintain our work-hard play-hard culture.

divvyDOSE provides equal employment opportunity to all qualified applicants regardless of race, color, religion, national origin, sex, sexual orientation, gender identity, age, disability, genetic information, or veteran status, or other legally protected classification in the state in which a person is seeking employment. Applicants encouraged to confidentially self-identify when applying. Local applicants encouraged to apply. Drug-free work environment. Must be eligible to work in the United States.

Apply for this job",3.4,201 to 500 Employees,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,33,59,46.0,"divvyDOSE
",Moline, IL,5,0,0,1,0,0,0,1
Data Analyst,"Data Specialist

Job Summary

We are on the hunt for someone who loves a good challenge and works well under pressure to join our Data team at Marxent. This position is based in Miamisburg, OH.

Responsibilities:
Learn and understand Marxents database structure and content workflow
Must have a strong attention to detail to ensure that data is correct and functions as intended.
Ability to handle complex datasets and large amounts of information in common spreadsheet formats
Comfortable with complex logic and business rules from a data perspective
Handle content and technical issues in a timely manner
Be in constant communication with our business analysts and content management team to understand data scope and requirements
Communicate accurate status of all data work across multiple clients to inform daily planning
Minimum Qualifications:
Associate or Bachelors degree in Math, Engineering, or other related programs
Strong working knowledge of Excel and/or Google Sheets (Formulas)
Works well under pressure and deadlines
Strong written and verbal communication skills
Preferred Qualifications:
1-2 years of SQL experience
Passion for AR, VR, and 3D
Company Overview

Marxent is the leader in retail product visualization. With patented 3D planners, Augmented Reality and Virtual Reality technologies, Marxent's 3D Cloud is the #1 3D Commerce solution for kitchen, bath, furniture, and outdoor.
E-Commerce: Shoppers design from photos and buy the room
Sales Teams: Interior design and remote selling apps
Enterprise: One platform to host and manage all 3D apps
Were a down-to-earth company that makes out-of-this-world software and weve found that team members who are humble, have a sense of humor, and enjoy working and collaborating with others make the most successful additions to the Marxent family.

Benefits and Perks
Medical, Dental, Vision, and Life Insurance
401(k) retirement plan with company match up
Paid Time Off
Training and development
Promotion from within
Hard work is rewarded
Ownership of projects
Community involvement
Team-building activities
Marxent is an Equal Opportunity Employer

Marxent provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Marxent complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Marxent expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Marxent’s employees to perform their job duties may result in discipline up to and including discharge

Powered by JazzHR",4.9,51 to 200 Employees,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,33,59,46.0,"Marxent
",Miamisburg, OH,9,0,0,0,0,0,1,1
Tactical Data Link (TDL) Analyst,"Overview:

Oasis Systems has an exciting opportunity for a Tactical Data Link (TDL) Analyst located at Langley, AFB in Hampton, VA.

LOCATION: Langley, AFB

JOB STATUS: Full-Time

TRAVEL: N/A

REQUIRED QUALIFICATIONS (Education, Certifications, Experience, Skills):

SECURITY CLEARANCE: US Secret and NATO Secret

EDUCATION:Bachelor’s degree in a technical field (such as engineering, computer science, etc.).

OTHER QUALIFICATIONS/SKILLS:

• At least five (5) years recent experience (within past 10 years) in a job working formal operational and information exchange requirements development as they relate to fighter aircraft tactical data exchange.
• At least five (5) years recent experience (within past 10 years) in a job performing formal Multi-TDL configuration management (to include development and analysis of complex ICPs), data management, military standards management, and staff processes.
• At least five (5) years recent experience (within past 10 years) working with and exposure to Joint/Air Force doctrine and the NATO Consultation, Command and Control Board (C3B) and it subcommittees.

RESPONSIBILITIES:

• Develop Interface Control Proposals (ICPs) that make editorial and technical changes to current/future multi-TDL configuration items (US Military Standard (Mil-Std) 3011, 6011, 6016, 6017, 6020, MADL, Cursor on Target (CoT), etc.). Perform detailed technical analysis of ICPs as they relate to USAF platforms and systems.
• Provide technical multi-TDL expertise to support the integration of multi-TDL capabilities into USAF platforms and systems.
• Develop, or review previously-developed, bit-level implementation specifications for USAF platforms and systems. These implementations shall depict the total multi-TDL implementation requirements for the platform.
• Provide technical support at Technical Interchange Meetings and Design Reviews concerning multi-TDL implementations.
• Provide technical expertise to analyze concepts or problems with Air Force, Joint, or Coalition standards or implementation of those standards and provide solutions or recommendations in appropriate format as required.
• Support development of operational concepts and architectures that use existing and emerging capabilities in support of USAF platform/system information exchange, interoperability, and operational employment requirements. This support shall include participation in Integrated Product Teams (IPTs) and other working groups to address specific technical and operational issues.
• Provide analytical assessments addressing impacts on existing allied message standards and systems technical accuracy effect on doctrine and identification of potential problems and provide solutions and recommendations for implementation.
• Attend and provide technical support for Air Force, Joint and Coalition-related multi-TDL meetings.

Who We Are
Oasis Systems is a premier provider of customer-driven, cost-effective and quality Engineering Services; Enterprise Systems and Applications; Human Factors Engineering; Information Technology and Cyber Security; Professional Services; and Specialized Engineering Solutions to the Department of Defense, FAA, NRC and other federal agencies.

We strive to be an exciting and welcoming company that attracts, develops, motivates and retains the most talented, skilled and dedicated people in the industry; where they are encouraged to achieve personal excellence, purpose, and their full potential and career aspirations; while supporting mission-critical national security technologies and programs.

Oasis Systems is an equal opportunity employer and does not discriminate in hiring or employment on the basis of any legally protected characteristic including, but not limited to, race, color, religion, national origin, marital status, gender, sexual orientation, ancestry, age, medical condition, military veteran status or on the basis of physical handicap which, with reasonable accommodation, render the application to satisfactorily perform the job available.",3.7,1001 to 5000 Employees,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),33,59,46.0,"Oasis Systems LLC
",Hampton, VA,23,0,0,0,0,0,0,1
Data Analyst (ETL Developer),"Location: Carmel, Indiana, Eagan, Minnesota, or Little Rock, Arkansas

We’re still hiring! MISO has adapted our recruiting and onboarding processes to accommodate the needs of our prospective employees in light of the current conditions. At MISO, we are committed to the health and safety of our employees while maintaining a reliable bulk electric system. We are proud to offer #workfromhome options to our employees. #stillhiring #hiring

MISO is hiring an experienced Data Analyst to maximize the use of our data so teams can efficiently and effectively make data-driven decisions while managing risks and costs. Connect users with trusted data to drive insights and allow easy access to that data. Work in an Agile environment, help oversee best practices, and work on newer technologies and tools from Informatica and IBM Netezza. This role has the ability to impact the power grid and how important business decisions are made!

As MISO’s Data Analyst, you will:
Oversee and perform ETL development work
Help define and drive the team to use ETL development best practices and standards
Create Informatica workflows to expand the data warehouse
Gather and understand business requirements from both internal MISO departments and external stakeholders supporting data decision making and driving the best outcomes
Understand and demonstrate data management best practices
Participate in a production support rotation for one week a month during business hours
We’re looking for extensive knowledge and experience in the following:
ETL development using Informatica
Data warehousing experience
SQL (or NoSQL database experience such as MongoDB)
IBM Netezza/NPS familiarity
At least 5 years’ experience in a data analyst role
Bachelor’s Degree in a technical-related field or equivalent work experience
Appropriate level will be determined based upon experience and knowledge.

Transformative innovation is happening in the electric industry; from digitalizing homes and distributed resources, to renewable energy and an ever-changing grid. MISO manages the electricity superhighway in the Central U.S. and through use of groundbreaking research and advanced technology, our highly skilled employees ensure power flows reliably to 42 million Americans. Operating the electricity grid, running a robust energy market, planning for a bright future– it’s what our immensely talented and dedicated team does every day.

Watch MISO's 80 Second Video

#LI-DNI",3.2,501 to 1000 Employees,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,33,59,46.0,"MISO
",Carmel, IN,22,0,0,0,1,0,1,0
Data Analyst,"WHAT YOU WILL DO IN THIS POSITION:

·Perform analytical research to identify and resolve routine data issues impacting NCCI’s data providers and NCCI products and services.Responsible for identifying the nature of data issues and invoking developed solutions to resolve the issues on our Unit Data Validation team.

·Based on knowledge of the system and/or data type supported; provide needed testing support for baseline, discretionary, and investment projects impacting the core work.

·Identify and/or resolve customer data issues and assist data providers in the resolution of these issues.

·Provide testing and systems support - including researching issues to determine if NCCI systems issues are contributing to the root cause.

·Prepare documentation to resolve system requirements, procedures, or customer communication to resolve issues impacting core work functions and customer group supported.

·Participate in process review and improvement of team functions.

·Provide support to newer team members and collaborate with team members on resolutions to data provider challenges.

WHAT’S IN IT FOR YOU:

A competitive starting base salary plus a targeted 7% annual performance bonus

A Monday through Friday regular work schedule

A phenomenal work environment with perks including onsite restaurant and coffee shop, employee activities, onsite fitness center, and sports leagues

A wonderful team of fun, caring and friendly people to work with

A fantastic benefits package that’s hard to find in south Florida

WHAT YOU MUST BRING TO THE ROLE:

·Bachelor's Degree and 2 years in an analytical role in a service-oriented, financial, and/or insurance related enterprise where primary work performed uses web-based or other business systems.

·In lieu of the work experience requirement, a degree with coursework in any of the following: database and/or system management or design, data extraction, data mining, or data warehousing.

·In lieu of a bachelor’s degree, 5 years relevant work experience as indicated above is required.

·Ability to perform independent research using business applications, databases, data viewing tools, and reports to identify root cause and resolve data issues

·Ability to identify system issues are present and tests system changes to confirm resolution

·Ability to identify nature of customer issues and implement fixes from established resolution plans

·Experience participating in efforts to improve team processes / providing suggestions on team duties

·Ability to lead customer teleconferences to resolve issues – including agenda preparation and minutes

·Ability to interface professionally and effectively with higher-level staff / management on customer side

·Ability to prepare appropriate internal reports on customer issues to be shared with broad audience

·Solid knowledge of navigating web-based systems to provide training /assistance to customers

·Ability to independently handle multiple tasks to meet established deadlines and SLAs

·Ability to provide inbound / outbound customer support - owning a variety of inquiries simultaneously

·Ability to makes proactive calls to customers providing them with the needed detail to help them understand and resolve issues

·Strong computer, verbal, written, and teaming skills to deliver on assignments

·Ability to take on work outside comfort zone to develop skills for future assignments

·Proficient with Microsoft Office - Outlook, Word, Excel

Preferred Education, Experience and Skills:

·Knowledge of insurance, claims, or financial data

WHO WE ARE:

Since 1923, NCCI has been committed to fostering a healthy workers compensation system. We are the nation’s trusted source for accurate, objective workers compensation information. We are the industry leader. At NCCI, we recognize that our employees are the reason our legacy endures today. We’re motivated by the opportunity to do challenging and interesting work, and our Total Rewards package attracts top talent. Our employees care about each other and the communities in which they live and work. Our values of integrity, respect, quality and excellence, responsibility, and commitment, guide our success.

We require a drug screen and background check.

EEO / Smoke free environment",4.4,501 to 1000 Employees,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),33,59,46.0,"NCCI Holdings
",Boca Raton, FL,97,0,0,0,0,0,0,1
Health Data Analyst,"Tuesday, August 18, 2020

JOB SUMMARY:

Extract and analyze health care data for specific studies and corporate initiatives, assisting with data intensive projects. Serve as a technical resource to department staff and management. Work with management of operational areas to assist them in accumulating data to meet their needs. Provide advice to management regarding effective techniques to analyze and report on data to display the most effective result.

ESSENTIAL JOB FUNCTIONS:
Perform routine to moderately complex analysis and design for various business applications.
Create reports and spreadsheets displaying data in a logical and concise manner.
Develop procedures to enhance reporting and query capabilities to improve efficiency and accuracy.
Maintain documentation of business specifications pertinent to the business requirements.
Provide fundamental analytical support to the organization by developing and promoting consistent analytical methodologies.
Design and model data extractions and provide comprehensive assessments of trends and data.
Participate in department initiatives and projects.
Perform other duties as assigned.
QUALIFICATIONS:

Minimum Education and Experience:
Bachelor’s degree in Computer Science, Mathematics, Economics or related field; or an equivalent combination of education and experience
Three to five years of health data analysis, business analysis, software application, database design, and technical documentation experience
Preferred Education, Additional Qualifications and Experience:
Knowledge of applied statistics
Knowledge of econometric modeling
HIAA certification
Experience in the health insurance industry
Required Knowledge, Skills, and/or Abilities:
Advanced analytical skills, with the ability to interpret and synthesize complex data sets
Understanding of SAS programming, spreadsheet, and database software and other application development tools
Good business acumen and political savvy
Knowledge of business process improvement techniques and strategies
Excellent verbal and written communications skills
Negotiation skills
Presentation skills
Decision-making skills
Good problem solving skills
Ability to interface with employees at all levels
Ability to effectively navigate ambiguous situations with limited direction
Excellent organizational skills and ability to successfully prioritize multiple tasks
Ability to handle multiple priorities/projects

At Blue Cross & Blue Shield of Rhode Island (BCBSRI), diversity and inclusion are central to our core values and strengthen our ability to meet the challenges of today's healthcare industry. BCBSRI is an equal opportunity, affirmative action employer. We provide equal opportunities without regard to race, color, religion, gender, age, national origin, disability, veteran status, sexual orientation, genetic information and gender identity or expression.
The law requires an employer to post notices describing the Federal laws prohibiting job discrimination based on race, color, sex, national origin, religion, age, equal pay, disability, veteran status, sexual orientation, and genetic information and gender identity or expression. Please visit http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf to view the ""EEO is the Law"" poster.

Other details
Pay Type
Salary",3.7,501 to 1000 Employees,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable,33,59,46.0,"Blue Cross & Blue Shield of Rhode Island
",Providence, RI,81,0,0,0,1,0,0,1
Data Systems Analyst,"Ready to make an impact? If so, read on!

Would you like to be a part of the team that brings data innovation, Machine Learning and AI enabling to GEICO? We are looking for a highly motivated Data Systems Analyst to support the Data Science Development lifecycle process and help solve complex business problems using predictive analytics/modeling approaches.

Job Responsibilities:

As a Data Systems Analyst, you will work with Machine Learning Developers, Data Modelers, and the business to:

•Conduct requirement and systems analysis, translating business requirements and performance metrics into modeling requirements and metrics
•Clearly define and document business problems by conferring with clients; evaluating procedures and processes, and assessing existing metrics
•Facilitate solution-design sessions with Machine Learning Developers, Data Scientists and business stakeholders
•Coordinate with the Machine Learning Developers and Data Scientists to document analytics solutions, approaches and results
•Communicate and coordinate effectively with clients and other stakeholders
•Support systems design, testing and deployment of predictive models into production
•Conduct data / metric analysis, assess impact of a new solution on key metrics, and analyze potential value
•Monitor performance of deployed models and develop recommendations on model refresh
•Set up metrics plans, conduct analysis of results, and report findings
•Capture data from Enterprise Data Warehouse (EDW) and Hadoop using SQL
•Create and execute test plans to test model services
•Assist with agile process and project planning

Would you like to join our innovative team? If so, do you meet these qualifications?

Required Qualifications:

• A minimum of three years of progressive analysis/systems experience in large scale IT projects

• Bachelor’s degree in Statistics, Computer Sciences, Information Technology, Engineering, Management of Information Systems, or equivalent work experience

• Ability to support multiple projects simultaneously and work in a dynamic environment

• Experience working in an Agile team and familiarity with Agile project management practices

• Experience documenting business processes, requirements, and application test plans

• Working knowledge of SQL

• Experience conducting metrics analysis and reporting

• Strong critical thinking, decision-making and problem-solving skills

Desired Qualifications:

• Demonstrated experience with SQL scripting language

• Experience with process improvement

• Foundational understanding of Statistics and analysis of A/B tests

• Experience in R or Python programming language

#LI-AM1
#DI-AM

About GEICO

For more than 75 years, GEICO has stood out from the rest of the insurance industry! We are one of the nation's largest and fastest-growing auto insurers thanks to our low rates, outstanding service and clever marketing. We're an industry leader employing thousands of dedicated and hard-working associates. As a wholly owned subsidiary of Berkshire Hathaway, we offer associates training and career advancement in a financially stable and rewarding workplace.

Our associates' quality of life is important to us. Full-time GEICO associates are offered a comprehensive Total Rewards Program*, including:
401(k) and profit-sharing plans
Medical, dental, vision and life insurance
Paid vacation, holidays and leave programs
Tuition reimbursement
Associate assistance program
Flexible spending accounts
Business casual dress
Fitness and dining facilities (at most locations)
Associate clubs and sports teams
Volunteer opportunities
GEICO Federal Credit Union
Benefit offerings for positions other than full-time may vary.
GEICO is an equal opportunity employer. GEICO conducts drug screens and background checks on applicants who accept employment offers.

How to Apply

Click ""Apply for Job"" to complete your application. You will need an active email address and phone number. Please upload your resume, preferably as Word .doc files or PDF. Once you begin your application you can save it and access it later. Your application should include any work and/or internship experience from at least the past five years.",3.4,10000+ Employees,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD),33,59,46.0,"GEICO
",Indianapolis, IN,84,1,0,0,0,0,1,0
Data Analyst,"Data Analyst

Job Details
Job Location
Yakima - Yakima, WA
Position Type
Full Time
Education Level
Bachelor's degree
Salary Range
$58,900.00 - $73,600.00 Salary/year
Job Shift
Day
Job Category
Information Technology
Description
Who is Comprehensive Healthcare?
Comprehensive Healthcare provides innovative behavioral health and integrated healthcare services to clients of all ages. We take pride in our creative and collaborative work environment and in delivering clinically excellent, trauma-informed, recovery-oriented services.

What are we looking for in a Data Analyst?
As a member of the Information Services department, the Data Analyst supports Comprehensive’s technology and business initiatives by coordinating the collection, storage, and utilization of essential data. This position will work closely with leadership and other staff to determine data needs for specific projects or ad hoc requests, and then gather, interpret, and present the information to the team. The work of the Data Analyst will impact day-to-day clinic operations as well as business decisions, so a high degree of accuracy, thoroughness, and timeliness are essential. Previous experience performing data analytics in the healthcare field is required. The Data Analyst will work on-site in our Yakima office.

Data Analyst duties may include:
integrating data from internal & external sources and performing extract, transform, and load operations to data in various applications
analyzing data to identify and interpret patterns or trends in data sets
performing data audits to identify problem areas & implementing strategies to optimize data integrity and process improvements
assisting with the design & implementation of database warehouse structure and developing standards for the design of data elements
supporting the implementation, testing, and validation of data & software systems
assisting with ongoing data architecture processes & governance
providing Tier II technical support to employees
documenting all work as it is completed
Qualifications:
Bachelor’s degree in computer science, data analytics, or related field
Three years of experience with data analysis within the healthcare industry
What Comprehensive Healthcare Can Offer You
Training and Development
A variety of career opportunities in a wide range of settings with room for mobility and promotion
Regular training opportunities including support, supervision, and consultation in implementing evidence-based services and programs
Innovative Program & Services
A strong reputation for providing quality, evidence-based services within a collaborative multi-disciplinary team environment
Innovative, forward-looking leadership that seeks to thrive in an ever-changing healthcare environment
Joint Commission-accredited organization committed to continuous quality improvement
Established partnerships with major research universities and other community and healthcare providers to implement cutting-edge treatment programs and services
Excellent Benefits
Competitive salaries within our communities and industry
Healthcare coverage for employee and qualified family members
Generous vacation, paid holiday and sick leave policies
Access to Employee Assistance Program services
Agency-funded retirement plan with contributions equal to 5% of compensation
Additional retirement investment opportunities with a 50% investment match of up to 4% of compensation
Agency-funded life and disability insurance program
Equal Opportunity Employer
Comprehensive Healthcare is proud to be an equal opportunity employer. We do not discriminate based on race, sex, age, color, religion, national origin, sexual orientation, gender identity or expression, marital status, veteran status, disability status, or any other basis prohibited by federal, state, or local law. We value the diverse perspectives and strengths that our employees bring to the workplace and we encourage individuals from underrepresented groups to apply for our positions. The Human Resources department offers accommodations and assistance for the application and interview process; please contact us at (509) 575-4084 to make arrangements.",3.3,501 to 1000 Employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,33,59,46.0,"Comprehensive Healthcare
",Yakima, WA,49,0,0,0,0,0,0,1
Data Governance Analyst,"Overview
Are you looking for a role where you can directly influence an organization in high growth mode? Do you have a knack for solving problems? Do you want to help drive the results of a multi-million-dollar business? If so, you may have found your next role.
We are looking for a self-motivated individual to join our Business Analytics team to manage the information flow for our organization, including the integrity, efficiency, and availability of data. You will participate in day-to-day data management and developing and implementing data standards. This role will also require developing credible and trusting relationships with senior leaders, managers and employees across the organization. Intellectual curiosity, ownership, and detail-orientation are requirements for the role and the department.
Responsibilities
Collect and refine data from various data sources
Develop and maintain datasets for BI tools
Develop, implement, and enforce data governance policies and processes
Develop, implement, and enforce data quality standards
Develop, implement, and maintain a master data strategy
Partner with and support analysts and other team members on data quality and data availability
Partner with IT to create methods for monitoring, troubleshooting, and resolving data issues
Create and maintain documentation, data dictionaries, etc.
Qualifications
Bachelor’s degree or equivalent experience
2+ years of relevant experience in analytics, finance, and/or IT
Strong technical skills and proficiency in data mining; ability to manipulate large datasets in a SQL or equivalent environment is a must
Strong analytical skills and proficiency in problem solving; ability to formulate a problem statement, identify and QC needed inputs, and produce and visualize the right outputs is a must
Strong modelling skills and proficiency in relational databases; ability to create new data systems and improve existing ones is a must
Experience with large-scale, shared data environments
Preferred qualifications
Familiarity with key concepts, such as ETL, MDM, RDBMS, etc.
About Strategic:
Strategic Financial Solutions is a leading consumer finance company that specializes in helping people that have too much credit card debt. We were recently named the 21st Best Company to Work for in New York by Best Companies to Work For and have been certified as a Great Place to Work 4 times. Additional honors include being named, two times, as one of the 50 fastest growing companies in New York City and to the prestigious Inc. 500 list as one of the 500 fastest growing companies in the United States.
Please mark @talent.icims.com as a safe sender to ensure recruiter emails don't go to spam",3.7,501 to 1000 Employees,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,33,59,46.0,"Strategic Financial Solutions
",New York, NY,13,0,0,0,0,0,1,0
Data Analyst,"At TrialCard, our passion is success - success for clients, success for us. You’ll notice who comes first. We’re committed to providing solutions, through innovation and unparalleled customer support, to the pharmaceutical industry to improve access and affordability of their medicines to patients. We work tirelessly on the behalf of our clients, because when they succeed, so do we.
The Data Analyst will support internal stakeholders through the aggregation of data for reporting and analytical purposes. The candidate must have the ability to manipulate and normalize data in a way that helps support accurate reporting and foster operational standardization. The Data Analyst will also work cross-functionally to gather and translate requirements across business units creating synergies and developing efficiencies.
The candidate must be an excellent communicator (both orally and written) and be able to effectively foster interactive collaboration and discussions among clients and internal TrialCard teams. The Data Analyst must be able to present analyses and conclusions in a logical and clear manner and must be able to effectively work as part of a team.

Assists program managers with ad-hoc and standardized reports through data manipulation and raw data extracts.
Works directly with business users and decision-makers to gather and document requirements and define scope to ensure accurate development of reporting solutions.
Works primarily within SQL, Excel, and MicroStrategy platforms for data manipulation.
Performs continuous audits to ensure standard, consistent, and quality master data in catering systems is valid and correct.
Supports and maintains current Quality Assurance Program to ensure continued effectiveness within the department.
Identifies additional data, reporting and analytic opportunities to support our pharmaceutical clients and scope work necessary to fulfill them.
Maintains master data lists through additions and revisions when identified by the business users.
Performs and documents procedures for data preparation including data cleaning, standardization and analysis.
Develops and maintains operational dashboards for key decision-makers.
Standardizes and cleanses raw data using predefined rules as well as establishing new rules as needed.
Translates business requirements into reporting requirements/mock-ups for BI and MicroStrategy teams.

Bachelor’s degree in Math, Statistics, Economics, Finance, Computer Science, Engineering or similar discipline.
Must have 2+ years of related data-management, analytics, or business intelligence experience.
Solid technical writing skills; ability to clearly and completely articulate work to be done and describe tasks using proper terminology.
Experience interpreting data and presenting meaningful, client-ready business insights.
Demonstrated application of analytical skills.
Mid-level proficiency in SQL programming and common query optimization techniques for data extraction.
Advanced Excel and/or Access skills. (e.g., VLOOKUP, SUMIF, Macros)
Understanding of dimensional data modeling concepts, as well as data warehousing design highly desirable.
Experience designing and implementing enterprise business intelligence solutions using Microstrategy, Microsoft SSRS or similar highly desirable.
Knowledge of the pharmaceutical industry highly desirable.
Knowledge of direct marketing highly desirable.
Experience in the healthcare industry is highly desirable.",3.3,1001 to 5000 Employees,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),33,59,46.0,"TrialCard
",Morrisville, NC,19,0,0,0,0,0,1,1
